Method,Close 3,Close 5,Root cause 3,Root cause 5,Random+1 3,Random+1 5,Confounder 3,Confounder 5,Random 3,Random 5,Disjoint 10,Submitted on,Paper reference,Submitted on,Method,"Paper Reference (doi, url, website, etc...)",Column 4,Method,Close 3,Close 5,Root cause 3,Confounder 5,Random 3,Random 5,Disjoint 10
Null model,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RP,0.7977917472598325,0.7614990689013036,0.7611068310220853,0.7004421119592875,0.7373271889400922,0.7339544240635322,0.623263888888889,0.6598502836037462,0.7931298773690079,0.7533289329559771,0.7482142210754258,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RP+N,0.7174403610573823,0.6233938547486034,0.813366718027735,0.7664312977099237,0.7138248847926268,0.6505798018131984,0.578125,0.5833646616541353,0.7228260869565217,0.6418219461697722,0.6516394385122559,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RP+B,0.7753062540296582,0.708554469273743,0.6092706728299948,0.5282315521628499,0.8059907834101383,0.7141757150889029,0.6059027777777778,0.6245424416303919,0.7569328316610925,0.6836745208653865,0.5771190040450196,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
CC,0.6843165699548679,0.6276012569832402,0.7041602465331279,0.6688613231552162,0.6434715821812595,0.6587102045119122,0.6510416666666666,0.5935397704788287,0.7094481605351171,0.7062019203373411,0.6611963870709925,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
CC+C,0.6895551257253385,0.6415386405959032,0.7199537750385208,0.7034764631043257,0.69247311827957,0.670497311827957,0.6354166666666666,0.6008994525788154,0.7062081939799331,0.6717436416130074,0.753656510221463,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RPCC,0.7047066408768538,0.6573731378026071,0.6959424756034925,0.6499745547073792,0.6775729646697389,0.6810694707990722,0.6319444444444444,0.6008771929824562,0.7209796544035674,0.7125956053209742,0.7055692025420919,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RPCC+N,0.6767408123791102,0.5973405493482309,0.7314458140729327,0.7038645038167939,0.6705069124423964,0.6396654719235364,0.6180555555555555,0.5721870465637778,0.6921683389074693,0.6437280772566971,0.6597842999817409,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RPCC+B,0.6781108961960025,0.6313081936685289,0.5973292244478685,0.5457983460559797,0.7165898617511521,0.657361726052428,0.6319444444444443,0.5834825550718903,0.6898341694537347,0.6500934288753396,0.5726205650234324,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
RPCC+C,0.7054319793681495,0.6566922718808195,0.7059578839239855,0.679398854961832,0.71321044546851,0.6743323494272261,0.6527777777777777,0.6103754451919272,0.7138726309921962,0.6721640121944269,0.754720644326161,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
VAR,0.8093971631205674,0.8062238128491619,0.7878787878787878,0.7507143765903308,0.7999999999999999,0.7934178218778551,0.7089120370370371,0.722215984039045,0.8232302118171684,0.8014852777302917,0.8197531396697479,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
Varlingam,0.7857967977648829,0.7727679818435754,0.7720210580380071,0.7694104643765903,0.8403993855606758,0.7881781924239231,0.6753472222222222,0.6980190195884449,0.7871434875510962,0.7549232169765925,0.8271949981303829,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
dynotears,0.5009671179883946,0.4993395018621974,0.5026964560862865,0.5638788167938931,0.5192012288786483,0.6082794710626186,0.5251736111111112,0.531981639955151,0.5029786789297659,0.6084451314098303,0.6064282477285861,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
PCMCI,0.6386814290705799,0.6168567550646633,0.6957926724875878,0.7365809478371502,0.8308755760368663,0.7350200295171831,0.6626157407407407,0.6397172619047619,0.6548622723894464,0.6529205644829399,0.8017869429388739,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
CDMI,0.809213985278654,0.8139014383355866,0.7163436692506461,0.649318122724909,0.8196923076923076,0.801899178590355,0.6319444444444444,0.7106264252179745,0.799846196868009,0.7817404322226683,0.7527369869196526,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
CP (Transf),0.6037502686438857,0.6519861499068902,0.6152627974661873,0.6795766539440203,0.8043010752688172,0.7151906976948484,0.5590277777777778,0.5640340984039046,0.6016873374210331,0.6514307280883368,,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
CP (Gru),0.6582312486567805,0.5765339851024208,0.6795497346344804,0.5580168575063613,0.8079877112135176,0.6474558999226931,0.5625,0.5621336235325155,0.6437314195466369,0.5987526829638916,,From publication,https://openreview.net/forum?id=wmV4cIbgl6,,,,,,,,,,,,
,,,,,,,,,,,,,,28/08/2025 19:15:00,Test,-,,Fantasy Method,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,,28/08/2025 19:25:57,Test2,-,,Fantasy Method,0.5,0.5,0.5,0.5,0.5,0.5,0.5
